cust_id,onu_serial,customer_name,street,estate,lat,lon,olt_id,board,pon_port,fat_id,fat_port,activation_date,status
C10001,ZTEG83CF256,Sade E.,Adeola Street,Magodo Estate,6.60496,3.35468,OLT-IKJ-01,1,1,FAT-0144,1,2025-04-06,Active
C10002,ZTEGDDCC692,Rotimi E.,Adeola Street,Magodo Estate,6.6051,3.35463,OLT-IKJ-01,1,1,FAT-0144,2,2025-02-15,Active
C10003,ZTEG5DABB48,Efe A.,Adeola Street,Magodo Estate,6.60503,3.35471,OLT-IKJ-01,1,1,FAT-0144,3,2025-11-02,Active
C10004,ZTEGA86E86C,Musa E.,Adeola Street,Magodo Estate,6.60512,3.35449,OLT-IKJ-01,1,1,FAT-0144,4,2025-03-20,Active
C10005,ZTEG13D7168,Rotimi A.,Adeola Street,Magodo Estate,6.60465,3.35415,OLT-IKJ-01,1,1,FAT-0144,5,2025-04-20,Active
C10006,ZTEG17B37E1,Ola O.,Adeola Street,Magodo Estate,6.60495,3.35467,OLT-IKJ-01,1,1,FAT-0144,6,2025-09-08,Active
C10007,ZTEGB3EA284,Jide E.,Adeola Street,Magodo Estate,6.6046,3.35407,OLT-IKJ-01,1,1,FAT-0144,7,2025-11-09,Active
C10008,ZTEG7822A6B,Sade A.,Adeola Street,Magodo Estate,6.60517,3.35425,OLT-IKJ-01,1,1,FAT-0144,8,2025-04-17,Active
C10009,ZTEG59FE85B,Ade A.,Adeola Street,Magodo Estate,6.60575,3.35429,OLT-IKJ-01,1,1,FAT-0145,1,2025-02-28,Active
C10010,ZTEG5A789CB,Musa A.,Adeola Street,Magodo Estate,6.60607,3.35488,OLT-IKJ-01,1,1,FAT-0145,2,2025-01-07,Active
C10011,ZTEG45B00A5,Bola E.,Adeola Street,Magodo Estate,6.6056,3.35477,OLT-IKJ-01,1,1,FAT-0145,3,2025-07-03,Active
C10012,ZTEGA0F5380,Yemi B.,Adeola Street,Magodo Estate,6.60592,3.35442,OLT-IKJ-01,1,1,FAT-0145,4,2025-02-10,Active
C10013,ZTEG652454F,Ade E.,Adeola Street,Magodo Estate,6.60591,3.35429,OLT-IKJ-01,1,1,FAT-0145,5,2025-04-23,Active
C10014,ZTEG29DE2BC,Ade A.,Adeola Street,Magodo Estate,6.60567,3.35459,OLT-IKJ-01,1,1,FAT-0145,6,2025-11-18,Active
C10015,ZTEG403A07B,Ola I.,Adeola Street,Magodo Estate,6.60545,3.35479,OLT-IKJ-01,1,1,FAT-0145,7,2025-03-14,Active
C10016,ZTEGB4CA83B,Musa A.,Adeola Street,Magodo Estate,6.60562,3.35499,OLT-IKJ-01,1,1,FAT-0145,8,2025-01-09,Active
C10017,ZTEGED44FD3,Tunde O.,Toyin Street,Magodo Estate,6.6068,3.35442,OLT-IKJ-01,1,1,FAT-0146,1,2025-03-13,Active
C10018,ZTEGEAB871D,Uche I.,Toyin Street,Magodo Estate,6.60608,3.35519,OLT-IKJ-01,1,1,FAT-0146,2,2025-04-15,Active
C10019,ZTEG521E7A6,Ade I.,Toyin Street,Magodo Estate,6.60626,3.35464,OLT-IKJ-01,1,1,FAT-0146,3,2025-02-03,Active
C10020,ZTEG2711EB5,Gbenga I.,Toyin Street,Magodo Estate,6.60651,3.35441,OLT-IKJ-01,1,1,FAT-0146,4,2025-06-12,Active
C10021,ZTEGAF452C0,Ola B.,Toyin Street,Magodo Estate,6.60677,3.35479,OLT-IKJ-01,1,1,FAT-0146,5,2025-10-05,Active
C10022,ZTEGEDD4A05,Musa B.,Toyin Street,Magodo Estate,6.6065,3.35465,OLT-IKJ-01,1,1,FAT-0146,6,2025-04-27,Active
C10023,ZTEGAC461CB,Hauwa B.,Toyin Street,Magodo Estate,6.60613,3.3549,OLT-IKJ-01,1,1,FAT-0146,7,2025-09-07,Active
C10024,ZTEGBFDD873,Musa E.,Toyin Street,(none),6.60718,3.35494,OLT-IKJ-01,1,1,FAT-0147,1,2025-02-04,Active
C10025,ZTEG19E8031,Rotimi O.,Toyin Street,(none),6.60689,3.35516,OLT-IKJ-01,1,1,FAT-0147,2,2025-05-14,Active
C10026,ZTEGE2DF2C2,Uche E.,Toyin Street,(none),6.60693,3.35474,OLT-IKJ-01,1,1,FAT-0147,3,2025-12-03,Active
C10027,ZTEG305BC30,Hauwa E.,Toyin Street,(none),6.60715,3.35528,OLT-IKJ-01,1,1,FAT-0147,4,2025-10-03,Active
C10028,ZTEG57BC754,Gbenga B.,Toyin Street,(none),6.6073,3.35466,OLT-IKJ-01,1,1,FAT-0147,5,2025-07-15,Active
C10029,ZTEG4FC2A90,Bola A.,Toyin Street,(none),6.60684,3.3549,OLT-IKJ-01,1,1,FAT-0147,6,2025-10-05,Active
C10030,ZTEG2799E72,Lola B.,Adeola Street,Magodo Estate,6.60501,3.35558,OLT-IKJ-01,1,1,FAT-0150,1,2025-11-24,Active
C10031,ZTEGC0F3E5F,Rotimi I.,Adeola Street,Magodo Estate,6.60506,3.35527,OLT-IKJ-01,1,1,FAT-0150,2,2025-01-16,Active
C10032,ZTEGF903AEF,Lola O.,Adeola Street,Magodo Estate,6.60507,3.35482,OLT-IKJ-01,1,1,FAT-0150,3,2025-11-03,Active
C10033,ZTEG8B73CCF,Chidi O.,Adeola Street,Magodo Estate,6.60456,3.3556,OLT-IKJ-01,1,1,FAT-0150,4,2025-02-15,Active
C10034,ZTEG9BCCE7C,Lola A.,Adeola Street,Magodo Estate,6.60502,3.35539,OLT-IKJ-01,1,1,FAT-0150,5,2025-12-05,Active
C10035,ZTEGDB13865,Kemi O.,Adeola Street,Magodo Estate,6.60447,3.35598,OLT-IKJ-01,1,1,FAT-0151,1,2025-02-28,Active
C10036,ZTEGEB77B92,Ngozi A.,Adeola Street,Magodo Estate,6.60509,3.35606,OLT-IKJ-01,1,1,FAT-0151,2,2025-10-22,Active
C10037,ZTEG71E09C2,Musa I.,Adeola Street,Magodo Estate,6.60441,3.35566,OLT-IKJ-01,1,1,FAT-0151,3,2025-02-21,Active
C10038,ZTEG2D96AC5,Ife E.,Opebi Road,Omole Phase 1,6.60398,3.35991,OLT-IKJ-01,1,2,FAT-0160,1,2025-12-23,Active
C10039,ZTEGA4B953E,Ola E.,Opebi Road,Omole Phase 1,6.60377,3.36003,OLT-IKJ-01,1,2,FAT-0160,2,2025-09-25,Active
C10040,ZTEG93B852D,Ade O.,Opebi Road,Omole Phase 1,6.60388,3.35998,OLT-IKJ-01,1,2,FAT-0160,3,2025-04-23,Active
C10041,ZTEG2CE606F,Pelumi I.,Opebi Road,Omole Phase 1,6.60393,3.35999,OLT-IKJ-01,1,2,FAT-0160,4,2025-01-12,Active
C10042,ZTEG5D1079A,Efe I.,Opebi Road,Omole Phase 1,6.60356,3.35974,OLT-IKJ-01,1,2,FAT-0160,5,2025-06-22,Active
C10043,ZTEGFE283C1,Ola E.,Opebi Road,Omole Phase 1,6.60411,3.35986,OLT-IKJ-01,1,2,FAT-0160,6,2025-11-09,Active
C10044,ZTEG42D1464,Yemi E.,Opebi Road,Omole Phase 1,6.60404,3.3602,OLT-IKJ-01,1,2,FAT-0160,7,2025-04-07,Active
C10045,ZTEG7269435,Hauwa I.,Opebi Road,Omole Phase 1,6.60414,3.35977,OLT-IKJ-01,1,2,FAT-0160,8,2025-03-16,Active
C10046,ZTEG69CA6EF,Bola A.,Opebi Road,Omole Phase 1,6.60436,3.36042,OLT-IKJ-01,1,2,FAT-0161,1,2025-03-04,Active
C10047,ZTEG835DC32,Pelumi O.,Opebi Road,Omole Phase 1,6.60434,3.36086,OLT-IKJ-01,1,2,FAT-0161,2,2025-07-21,Active
C10048,ZTEG951D1A3,Pelumi O.,Opebi Road,Omole Phase 1,6.60417,3.36087,OLT-IKJ-01,1,2,FAT-0161,3,2025-10-15,Active
C10049,ZTEG620235B,Chidi A.,Opebi Road,Omole Phase 1,6.60382,3.36069,OLT-IKJ-01,1,2,FAT-0161,4,2025-11-23,Active
